수도권 구분,시군구,구분,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 인제군,노인인구 비율,9.929,10.71,11.434,12.196,12.724,13.133,13.941,14.76,15.373,15.885,16.039,16.303,16.626,16.828,17.05,16.758,17.121,17.982,18.714,19.557,20.603,21.449,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 인제군,전체 인구,"33,618","33,092","32,447","32,092","32,443","32,811","32,493","32,079","31,620","31,452","31,842","31,970","32,456","32,517","32,475","33,255","32,720","32,582","32,136","31,672","31,694","32,165",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 정선군,노인인구 비율,10.676,11.291,11.602,12.813,13.622,14.657,15.526,16.833,17.614,18.306,19.25,19.855,20.506,21.265,22.09,22.634,23.266,24.439,25.22,26.393,27.982,29.217,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 정선군,전체 인구,"50,572","49,048","51,226","46,225","45,419","44,203","43,186","41,806","41,269","40,708","41,045","40,181","39,915","39,985","39,425","39,197","38,718","38,173","37,700","37,271","36,870","35,675",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 철원군,노인인구 비율,9.554,10.082,10.795,11.332,12.004,12.848,13.685,14.698,15.298,15.943,16.281,16.935,17.676,18.354,18.699,18.566,18.978,19.633,20.391,21.565,22.754,23.807,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 철원군,전체 인구,"53,190","52,072","50,532","50,212","49,650","48,933","48,024","47,420","47,724","47,669","48,928","48,084","47,968","47,473","47,590","48,799","48,013","47,185","46,413","45,584","44,699","43,340",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 춘천시,노인인구 비율,8.313,8.813,9.268,9.779,10.33,10.841,11.399,11.976,12.37,12.723,13.108,13.48,14.003,14.38,14.64,14.781,14.855,15.655,16.224,16.938,17.883,18.607,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 춘천시,전체 인구,"251,212","251,142","252,624","253,363","254,323","254,999","256,239","258,141","261,975","264,849","269,950","272,805","273,364","274,455","275,791","277,997","280,707","280,514","280,640","281,291","282,765","284,594",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 태백시,노인인구 비율,7.274,7.997,8.569,9.264,10.035,10.667,11.397,12.286,12.997,13.624,14.816,15.362,16.192,17.172,18.061,18.968,19.686,20.977,22.159,23.535,25.188,26.447,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 태백시,전체 인구,"57,023","56,193","55,154","53,948","53,264","52,463","51,593","51,490","51,028","50,424","50,864","50,176","49,493","48,794","48,258","47,501","47,070","45,888","44,858","43,866","42,719","40,844",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 평창군,노인인구 비율,11.593,12.509,13.24,13.954,15.071,15.968,16.913,17.622,18.21,18.724,19.417,19.93,20.611,21.339,21.828,22.285,22.709,24.132,25.053,26.6,28.385,29.986,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 평창군,전체 인구,"47,125","46,478","46,262","46,375","45,311","45,033","44,332","44,003","43,706","43,634","43,622","43,577","43,627","43,666","43,660","43,500","43,318","43,092","42,610","42,106","41,681","40,996",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 홍천군,노인인구 비율,11.931,12.758,13.712,14.513,15.071,15.906,16.674,17.293,17.786,18.425,18.869,19.348,19.866,20.044,20.44,20.955,21.31,22.603,23.454,24.834,26.188,27.918,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 홍천군,전체 인구,"74,461","74,019","72,514","71,351","71,907","70,811","70,037","70,142","70,360","69,606","69,893","69,899","69,727","70,638","70,451","70,336","70,076","70,340","69,949","69,150","69,242","68,365",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 화천군,노인인구 비율,11.089,11.897,12.874,13.284,14.11,15.06,16.151,17.299,17.097,17.501,18.084,18.08,18.397,18.613,17.651,17.842,18.299,19.007,20.188,21.347,22.565,23.67,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 화천군,전체 인구,"25,188","24,965","24,088","24,540","24,267","23,732","23,317","22,944","24,110","24,216","24,364","24,945","25,020","25,079","27,143","27,020","26,264","26,022","25,084","24,917","24,857","24,195",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 횡성군,노인인구 비율,13.862,14.836,15.711,16.679,17.475,18.513,19.557,20.368,20.8,21.103,21.725,22.227,23.035,23.658,23.878,24.237,24.62,25.983,26.634,27.888,29.482,31.094,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 횡성군,전체 인구,"45,961","45,496","45,198","44,306","44,297","43,678","42,982","43,176","43,413","44,121","44,254","44,360","44,615","44,937","45,373","45,777","45,991","46,281","46,726","46,575","46,472","46,481",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 가평군,노인인구 비율,12.732,13.569,14.139,14.691,15.383,16.062,16.529,17.484,17.85,18.397,19.058,19.426,19.864,20.516,21.031,21.529,21.728,22.662,23.526,24.71,26.17,27.359,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 가평군,전체 인구,"56,111","56,045","55,506","55,060","54,845","54,861","54,855","55,698","57,108","57,564","58,890","59,358","60,794","61,017","61,213","62,008","62,448","62,973","62,918","62,415","62,377","62,264",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 고양시,노인인구 비율,5.72,6.035,6.349,6.659,6.975,7.294,7.687,8.131,8.475,8.741,8.995,9.278,9.676,9.997,10.346,10.71,10.974,11.548,12.122,12.686,13.501,14.28,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 고양시,전체 인구,"797,597","811,467","836,664","865,077","886,000","904,077","910,206","924,839","938,831","938,784","950,115","961,239","969,916","990,571","1,006,154","1,027,546","1,039,684","1,041,983","1,044,189","1,066,351","1,079,216","1,079,353",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 과천시,노인인구 비율,6.462,6.716,6.942,7.153,7.526,8.042,8.293,8.653,8.694,8.88,9.288,9.684,10.213,10.638,11.014,11.5,12.128,12.992,13.35,13.869,14.224,14.122,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 과천시,전체 인구,"71,432","71,201","70,488","70,324","68,333","60,956","60,482","62,291","69,477","72,049","72,279","71,955","71,068","70,578","70,156","68,946","63,778","57,527","58,142","58,289","63,231","73,345",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 광명시,노인인구 비율,5.206,5.424,5.616,5.965,6.326,6.657,7.057,7.522,7.87,8.122,8.151,8.339,8.803,9.232,9.749,10.294,10.766,11.515,12.198,13.077,13.96,14.696,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 광명시,전체 인구,"338,139","336,309","340,807","336,083","331,419","327,828","313,372","313,019","310,501","314,257","343,982","355,226","355,560","353,100","348,560","344,978","339,484","332,790","326,841","316,552","298,599","292,893",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 광주시,노인인구 비율,6.562,6.696,6.818,6.887,7.08,7.347,7.698,8.119,8.419,8.75,8.949,9.097,9.51,9.836,10.186,10.498,10.742,11.332,11.777,12.436,13.37,14.286,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 광주시,전체 인구,"139,339","152,878","175,614","191,466","205,641","214,498","222,048","229,319","234,777","238,583","249,789","265,222","275,656","286,699","298,858","312,579","327,723","345,947","363,782","372,654","382,054","387,289",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 구리시,노인인구 비율,4.942,4.99,5.29,5.545,5.964,6.207,6.539,6.939,7.307,7.649,8.011,8.403,8.921,9.445,9.918,10.373,10.643,11.179,11.692,12.626,13.655,14.494,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 구리시,전체 인구,"169,417","184,816","193,214","192,947","193,438","192,548","193,847","196,800","195,874","195,593","196,398","194,881","192,341","189,680","186,820","186,721","193,763","200,042","203,553","199,265","197,454","191,948",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 군포시,노인인구 비율,4.815,5.035,5.318,5.588,5.87,6.181,6.577,6.986,7.247,7.499,7.661,7.994,8.398,8.759,9.128,9.565,10.014,10.767,11.452,12.226,13.301,14.261,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 군포시,전체 인구,"270,151","269,080","268,559","273,765","275,761","277,781","274,569","275,351","277,590","275,731","287,833","287,294","286,841","286,344","288,408","287,519","284,890","281,205","276,916","275,852","273,791","268,535",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 김포시,노인인구 비율,6.902,7.104,7.344,7.649,8.009,8.41,8.795,9.41,9.568,9.932,10.131,10.283,10.231,10.42,10.492,10.869,11.145,11.378,11.469,11.957,12.263,12.904,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 김포시,전체 인구,"162,997","180,404","193,438","203,391","208,192","207,229","207,824","205,997","220,418","225,805","238,339","256,994","287,432","312,305","340,310","349,990","363,443","392,092","423,170","437,221","473,970","486,508",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 남양주시,노인인구 비율,5.939,6.324,6.651,7.042,7.404,7.59,7.933,8.389,8.72,8.975,9.181,9.544,9.912,10.275,10.668,11.082,11.476,12.278,12.713,13.252,14.094,14.757,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 남양주시,전체 인구,"358,396","375,041","392,614","403,755","418,360","450,054","470,617","492,347","505,867","525,211","564,141","578,485","599,539","618,305","636,256","653,454","662,154","665,321","681,828","701,830","713,321","733,798",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 동두천시,노인인구 비율,7.797,8.42,9.019,9.469,9.81,10.209,10.845,11.66,12.078,12.45,12.979,13.502,14.192,14.84,15.358,15.949,16.456,17.473,18.389,19.357,20.558,21.29,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 동두천시,전체 인구,"75,529","74,266","73,177","74,735","79,214","82,623","85,803","88,780","90,835","93,211","95,653","96,253","97,175","97,557","97,595","97,974","98,277","97,071","96,226","94,768","94,353","93,592",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 부천시,노인인구 비율,4.694,4.9,5.035,5.239,5.501,5.754,6.056,6.458,6.725,7.001,7.289,7.639,8.152,8.652,9.17,9.707,10.127,10.882,11.575,12.541,13.68,14.722,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 부천시,전체 인구,"775,815","781,091","816,499","844,256","855,697","855,359","860,020","864,037","867,678","869,944","875,204","872,452","869,944","863,720","855,586","848,987","851,380","850,329","843,768","829,996","818,383","806,067",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 성남시,노인인구 비율,5.052,5.278,5.545,5.854,6.186,6.531,6.957,7.445,7.872,8.205,8.574,8.938,9.469,9.965,10.46,10.952,11.261,11.941,12.585,13.345,14.171,14.833,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 성남시,전체 인구,"924,390","932,780","940,974","962,048","977,166","983,075","964,831","953,960","942,447","962,726","980,190","979,323","978,615","979,534","974,608","971,424","974,580","967,510","954,347","942,724","940,064","930,948",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 수원시,노인인구 비율,4.271,4.456,4.629,4.87,5.149,5.408,5.728,6.191,6.465,6.684,6.947,7.22,7.517,7.771,8.045,8.42,8.709,9.285,9.762,10.352,11.124,11.749,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 수원시,전체 인구,"948,065","974,866","1,019,711","1,032,944","1,033,829","1,045,587","1,068,906","1,067,702","1,067,425","1,073,149","1,077,535","1,088,489","1,120,258","1,148,157","1,174,228","1,184,624","1,194,041","1,202,628","1,201,166","1,194,465","1,186,078","1,183,714",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 시흥시,노인인구 비율,4.009,4.151,4.268,4.482,4.718,4.931,5.224,5.582,5.814,5.999,6.19,6.393,6.686,7.016,7.307,7.581,7.856,8.223,8.369,8.741,9.34,9.944,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 시흥시,전체 인구,"318,083","337,402","353,860","368,223","378,613","387,239","390,477","390,564","392,756","397,912","403,797","401,149","399,485","396,765","394,639","398,256","402,888","419,664","448,687","473,682","500,895","512,030",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 안산시,노인인구 비율,3.918,4.121,4.329,4.575,4.786,5.007,5.28,5.606,5.885,6.154,6.366,6.614,6.925,7.239,7.597,7.969,8.284,8.866,9.488,10.207,10.936,11.7,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 안산시,전체 인구,"566,912","590,598","628,861","651,625","666,784","679,011","698,819","705,040","708,257","705,346","714,891","715,586","715,108","713,666","707,876","697,885","689,859","677,710","660,343","650,918","654,915","652,726",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 안성시,노인인구 비율,9.817,10.147,10.408,10.691,11.102,11.291,11.577,11.953,12.013,12.36,12.399,12.586,13.046,13.369,13.739,14.343,14.547,15.392,15.971,16.755,17.563,18.271,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 안성시,전체 인구,"136,590","141,605","147,898","151,522","154,110","157,130","159,655","163,733","169,545","170,919","177,937","180,743","181,608","182,173","181,896","180,199","182,896","182,786","183,579","183,405","187,012","189,534",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 안양시,노인인구 비율,5.038,5.216,5.444,5.686,5.934,6.185,6.493,6.904,7.223,7.554,7.865,8.201,8.631,9.077,9.536,10.005,10.324,11,11.733,12.634,13.741,14.489,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 안양시,전체 인구,"581,166","591,670","595,142","604,505","621,047","625,350","624,280","624,197","620,279","616,547","621,714","615,642","611,412","607,877","600,809","597,789","597,414","587,764","576,831","567,044","550,027","547,178",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 양주시,노인인구 비율,6.926,6.93,7.173,7.502,7.845,8.09,8.558,9.11,9.585,10.026,10.148,10.567,11.152,11.77,12.177,12.671,12.996,13.716,14.345,15.029,15.734,16.515,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 양주시,전체 인구,"117,319","135,748","143,124","148,062","152,596","160,589","169,806","179,914","179,914","182,106","196,706","200,360","200,310","199,143","202,072","205,184","205,513","212,146","216,951","222,314","230,359","236,368",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 양평군,노인인구 비율,13.303,14.072,14.672,15.226,15.802,16.381,16.902,17.515,17.922,18.331,18.496,18.819,19.369,19.903,20.429,20.931,21.204,22.227,23.172,24.341,25.702,26.705,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 양평군,전체 인구,"82,773","82,704","82,992","83,730","84,673","85,533","86,298","87,874","89,812","91,450","95,833","99,430","102,193","103,620","105,379","108,316","111,367","115,105","116,095","116,874","118,810","121,230",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 여주시,노인인구 비율,10.21,10.593,11.24,11.854,12.421,12.836,13.427,13.926,14.283,14.664,15.063,15.463,16.083,16.67,16.917,17.322,17.728,18.827,19.69,20.766,21.873,23.053,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 여주시,전체 인구,"103,622","104,648","104,380","104,030","103,976","104,260","105,022","106,926","107,355","108,088","109,250","109,120","109,550","109,343","110,386","111,033","111,563","111,984","111,525","111,083","111,897","112,150",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 연천군,노인인구 비율,11.405,12.156,13.013,13.919,14.772,15.663,16.499,17.479,18.055,18.751,19.488,20.238,20.498,21.035,21.795,21.935,22.136,22.942,23.774,25.078,26.404,27.654,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 연천군,전체 인구,"52,786","51,655","50,372","49,508","48,687","47,123","46,075","45,603","45,495","45,241","45,177","44,900","45,599","45,610","45,363","45,725","45,907","45,431","44,633","43,824","43,516","42,721",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 오산시,노인인구 비율,4.161,4.337,4.687,4.932,5.095,5.04,5.328,5.535,5.707,5.957,6.175,6.368,6.585,6.815,7.055,7.428,7.675,8.14,8.447,8.948,9.603,10.257,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 오산시,전체 인구,"105,933","114,540","115,956","118,167","121,326","129,843","136,311","145,825","150,237","159,734","182,516","193,892","200,291","205,460","208,565","206,828","208,656","213,437","220,070","226,379","229,725","229,983",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 용인시,노인인구 비율,5.419,5.613,6.023,6.406,6.662,6.935,7.232,7.699,8.091,8.397,8.63,9.054,9.519,9.889,10.233,10.671,10.994,11.641,12.082,12.629,13.321,13.945,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 용인시,전체 인구,"392,133","451,670","525,622","575,255","640,452","693,660","766,569","800,294","816,763","839,204","876,550","896,044","915,959","941,477","961,026","975,746","991,126","1,004,081","1,035,126","1,059,609","1,074,176","1,077,508",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 의왕시,노인인구 비율,5.375,5.661,5.911,6.091,6.283,6.677,7.106,7.628,7.984,8.078,8.192,8.558,8.825,9.259,9.816,10.358,10.788,11.683,12.438,12.921,13.602,14.474,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 의왕시,전체 인구,"121,292","124,191","133,395","143,388","145,535","145,952","138,253","135,009","134,488","140,874","147,443","149,607","154,757","159,772","158,482","157,740","156,763","155,767","153,932","161,153","163,795","163,356",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 의정부시,노인인구 비율,5.353,5.705,6.066,6.454,6.897,7.332,7.774,8.377,8.803,9.232,9.717,10.197,10.771,11.3,11.805,12.279,12.634,13.25,13.738,14.445,15.241,15.857,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 의정부시,전체 인구,"361,131","367,171","378,424","394,803","397,612","402,410","410,938","421,853","430,849","431,008","431,801","430,400","429,147","430,976","431,112","433,937","438,457","441,584","447,026","451,868","461,710","463,661",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 이천시,노인인구 비율,7.128,7.409,7.749,8.087,8.489,8.773,9.075,9.516,9.768,10.047,10.203,10.478,10.841,11.204,11.643,12.018,12.065,12.637,13.066,13.55,14.256,14.802,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 이천시,전체 인구,"183,605","187,274","189,526","190,753","190,808","192,271","194,369","195,691","196,633","197,496","202,595","204,566","204,917","205,479","205,014","204,935","210,359","213,142","214,206","215,834","218,388","223,177",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 파주시,노인인구 비율,9.026,8.902,9.361,9.819,10.202,10.314,10.203,10.629,10.907,11.07,10.814,10.845,11.084,11.397,11.671,11.915,12.066,12.534,12.812,13.361,13.942,14.296,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 파주시,전체 인구,"191,726","224,658","235,147","237,658","246,323","261,770","292,752","303,831","311,164","323,011","355,632","378,790","394,201","401,718","411,348","423,321","430,781","437,848","451,848","454,040","465,617","483,245",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 평택시,노인인구 비율,6.938,7.314,7.68,7.959,8.318,8.487,8.699,9.176,9.476,9.764,10.104,10.283,10.577,10.787,11.026,11.191,11.276,11.614,11.799,12.068,12.374,12.427,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 평택시,전체 인구,"356,103","358,263","358,531","364,979","370,653","383,976","396,765","402,458","406,721","410,042","419,457","426,886","434,305","442,034","449,555","460,532","470,832","481,530","495,642","513,027","537,307","564,288",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 포천시,노인인구 비율,8.424,8.832,9.003,9.563,10.116,10.518,11,11.542,11.911,12.352,12.742,13.225,13.806,14.394,14.942,15.395,15.696,16.643,17.459,18.611,19.904,20.868,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 포천시,전체 인구,"145,981","146,272","152,507","150,240","150,364","155,242","157,269","158,156","160,176","158,931","158,658","157,967","157,559","156,603","155,798","155,192","154,763","152,925","150,676","148,379","147,274","148,939",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 하남시,노인인구 비율,5.807,6.142,6.389,6.727,7.033,7.396,7.686,8.177,8.505,8.935,9.466,9.857,10.47,11.159,11.65,11.592,11.04,11.536,11.913,12.331,12.804,12.978,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 하남시,전체 인구,"123,366","123,659","127,541","128,326","129,903","132,850","134,824","137,131","143,638","148,566","150,479","148,397","146,269","145,096","148,896","166,713","211,101","232,487","254,415","272,455","293,452","320,087",,,,,,,,,,,,,,,,,,,,,
수도권,경기도 화성시,노인인구 비율,9.299,9.157,9.054,9.193,8.848,8.558,8.689,8.221,7.701,7.58,7.611,7.767,7.973,8.264,8.479,8.284,8.25,8.4,8.372,8.515,8.907,9.297,,,,,,,,,,,,,,,,,,,,,
수도권,경기도 화성시,전체 인구,"191,444","210,524","226,930","236,226","271,563","296,530","310,171","371,972","449,354","491,528","505,838","516,765","525,490","530,251","540,862","596,525","640,890","691,086","758,722","815,396","855,248","887,015",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 거제시,노인인구 비율,6.622,6.771,6.889,6.976,7.089,7.121,7.197,7.305,7.267,7.181,7.215,7.307,7.474,7.63,7.8,7.846,8.139,8.753,9.363,10.026,10.933,11.957,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 거제시,전체 인구,"174,981","178,980","182,035","186,208","190,141","195,609","201,412","208,208","217,211","225,522","228,355","232,787","236,944","242,077","248,287","255,828","257,183","254,073","250,516","248,276","245,754","241,216",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 거창군,노인인구 비율,15.236,16.136,17.128,17.836,18.729,19.54,20.314,21.209,21.649,22.043,22.206,22.521,23.123,23.61,24.097,24.29,24.627,25.462,25.961,26.702,27.684,28.728,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 거창군,전체 인구,"69,744","68,574","67,224","66,370","65,615","64,735","63,917","63,979","63,268","63,180","63,421","63,146","63,103","63,177","63,137","63,232","63,308","62,763","62,455","62,179","61,502","61,073",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 고성군,노인인구 비율,16.246,17.313,18.145,19.094,20.101,20.951,21.769,22.512,22.747,22.641,22.893,23.191,23.78,24.469,25.202,25.725,26.437,27.455,28.469,29.798,31.337,32.773,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 고성군,전체 인구,"63,423","62,097","60,374","58,642","57,400","56,189","55,309","55,393","55,950","57,100","57,231","57,264","56,906","56,369","55,916","55,284","54,703","54,060","53,243","52,276","51,361","50,478",,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 김해시,노인인구 비율,5.402,5.592,5.579,5.705,5.877,6.087,6.35,6.63,6.832,7.018,7.187,7.404,7.713,8.005,8.308,8.678,9.062,9.625,10.072,10.606,11.406,12.187,,,,,,,,,,,,,,,,,,,,,
비수도권,경상남도 김해시,전체 인구,"343,617","353,768","390,292","407,368","427,432","443,017","453,728","464,964","477,572","492,413","503,348","507,062","513,260","522,049","527,240","528,865","529,422","532,132","533,672","542,455","542,338","537,673",,,,,,,,,,,,,,,,,,,,,
